logID,amount,vates,ilvldiff,NDruids,PowerInfusion,uptime_pct,boss,mage,duration_s,vates_by,Berserking,Destruction,VT,JoW
pKCYXkqtgavwnGRf,2219.590224721,0,4.919998168945327,2,0,0,100623,105966831,115.966,0,0,0,7608,2516
pKCYXkqtgavwnGRf,2605.4274528741,2+,2.9199981689453267,2,0,0,100623,106302757,115.966,2+,1,0,7619,3240
pKCYXkqtgavwnGRf,1840.8509855212,1,4.559997558593764,2,0,0,100624,105966831,152.153,1,0,0,7428,2590
pKCYXkqtgavwnGRf,2088.4372966685,1,2.559997558593764,2,0,0,100624,106302757,152.153,1,1,0,7292,2886
pKCYXkqtgavwnGRf,1820.4722658757,0,4.199996948242202,2,0,0,100627,105966831,197.897,0,0,0,11001,3700
pKCYXkqtgavwnGRf,1709.7277876875,0,2.1999969482422017,2,0,0,100627,106302757,197.897,0,1,0,10989,3700
pKCYXkqtgavwnGRf,2523.8455296548,1,4.480003356933594,2,0,0,100626,105966831,108.448,1,0,0,6016,888
pKCYXkqtgavwnGRf,1879.1856558331,1,4.319999694824219,2,0,0,100625,105966831,150.305,1,0,0,6484,2960
pKCYXkqtgavwnGRf,1959.3027510728,1,2.3199996948242188,2,0,0,100625,106302757,150.305,1,1,0,6440,2812
pKCYXkqtgavwnGRf,1065.4979077773,1,4.080001831054673,2,0,0,100628,105966831,485.13,1,0,0,5192,2220
pKCYXkqtgavwnGRf,900.42256714695,0,2.0800018310546733,2,0,0,100628,106302757,485.13,0,1,0,5146,2516
pKCYXkqtgavwnGRf,1563.312304979,1,2.160003662109361,2,0,0,100730,106302757,294.84,1,1,0,13014,2738
pKCYXkqtgavwnGRf,1861.0635541639,1,4.1200027465820455,2,0,0,100731,105966831,153.617,1,0,0,7826,3478
pKCYXkqtgavwnGRf,2059.0038862886,0,2.1200027465820455,2,0,0,100731,106302757,153.617,0,1,0,7825,3256
pKCYXkqtgavwnGRf,1782.2752411806,1,4.440002441406236,2,0,0,100732,105966831,111.742,1,0,0,4992,1480
pKCYXkqtgavwnGRf,1914.758998407,1,2.440002441406236,2,0,0,100732,106302757,111.742,1,1,0,5027,1776
pKCYXkqtgavwnGRf,1235.4351224596,1,4.0800018310546875,2,0,0,100733,105966831,527.725,1,0,0,14848,2294
pKCYXkqtgavwnGRf,1124.7354209105,1,6.0800018310546875,2,0,0,100733,106302757,527.725,1,1,0,14737,2072
9FgjDHZB3ayGnc8P,1324.8112011466,2+,-0.23999786376951704,4,0,80.69676423570917,100624,110140066,181.41,2+,1,0,6713,2664
9FgjDHZB3ayGnc8P,1502.7384666543,1,-0.279998779296875,4,0,85.13403816248886,100627,110140066,204.494,1,1,0,10348,3626
9FgjDHZB3ayGnc8P,1674.2397788988,2+,-0.68000030517578125,4,0,0,100626,110140066,134.599,2+,1,0,4147,2072
9FgjDHZB3ayGnc8P,1604.0086638865,2+,-0.31999969482421875,4,0,81.49419713574501,100625,110140066,154.665,2+,1,0,7173,2664
9FgjDHZB3ayGnc8P,929.39182828093,2+,-0.51999664306640625,4,0,43.2580179501663,100628,110140066,477.99,2+,1,0,9986,2812
9FgjDHZB3ayGnc8P,1461.4734884695,1,-0.8000030517577983,4,0,0,100730,110140066,305.452,1,1,0,13030,4810
9FgjDHZB3ayGnc8P,1855.3281148555,2+,-0.8399963378906392,4,0,0,100731,110140066,163.266,2+,1,0,8454,3996
vZKDkcxgPJN6Hj81,2246.950593141,1,1.8799972534179545,3,0,0,100623,94777586,131.419,1,0,0,7744,2294
vZKDkcxgPJN6Hj81,2261.5603527648,1,3.8799972534179545,3,0,0,100623,101911926,131.419,1,1,0,7826,2886
vZKDkcxgPJN6Hj81,1700.8488535827,1,1.5599975585937642,3,0,0,100624,94777586,150.556,1,0,0,8053,2590
vZKDkcxgPJN6Hj81,1970.1506416217,0,3.559997558593764,3,0,0,100624,101911926,150.556,0,1,0,8381,2886
vZKDkcxgPJN6Hj81,1916.4870895412,1,1.5599975585937642,3,1,0,100627,94777586,183.301,1,0,0,11614,3108
vZKDkcxgPJN6Hj81,2206.4691409212,1,3.559997558593764,3,0,0,100627,101911926,183.301,1,1,0,11004,4292
vZKDkcxgPJN6Hj81,2141.1600707715,1,1.4000015258789063,3,0,0,100626,94777586,130.561,1,0,0,6115,1036
vZKDkcxgPJN6Hj81,2269.3760004902,0,3.4000015258789063,3,1,0,100626,101911926,130.561,0,1,0,6385,1036
GzC1Ktrc2Dy3gpBq,1968.8910274637,1,-5.040000915527344,3,0,0,100623,95107442,137.163,1,0,0,7358,2738
GzC1Ktrc2Dy3gpBq,1723.8541005956,0,-0.04000091552734375,3,0,0,100623,98598840,137.163,0,0,0,7601,2368
GzC1Ktrc2Dy3gpBq,1442.08520255,1,-5.3600006103515625,3,0,0,100624,95107442,177.882,1,0,0,8223,2960
GzC1Ktrc2Dy3gpBq,1591.4145332299,0,-0.3600006103515625,3,0,0,100624,98598840,177.882,0,0,1,8185,3478
GzC1Ktrc2Dy3gpBq,1369.2019553769,1,-5.239997863769517,3,0,0,100625,95107442,232.794,1,0,0,6417,3478
GzC1Ktrc2Dy3gpBq,1351.8088954183,1,-0.23999786376951704,3,0,0,100625,98598840,232.794,1,0,0,6128,3404
GzC1Ktrc2Dy3gpBq,1540.4900997206,1,-5.6399993896484375,3,0,0,100626,95107442,181.106,1,0,0,8176,0
GzC1Ktrc2Dy3gpBq,1662.0988953183,0,-5.599998474121094,3,0,0,100627,95107442,228.12,0,0,0,11519,4588
GzC1Ktrc2Dy3gpBq,1708.7103278976,1,-0.59999847412109375,3,0,0,100627,98598840,228.12,1,0,0,11529,4366
GzC1Ktrc2Dy3gpBq,1081.6167774353,1,-0.760002136230483,3,0,0,100628,98598840,442.213,1,0,0,9077,2738
DpFbZcmXMQTyGh1z,1077.9591485455,0,0.9199981689453267,2,0,0,100730,101491944,418.296,0,0,0,15955,1702
DpFbZcmXMQTyGh1z,1151.285214298,0,1.9199981689453267,2,0,0,100730,108604125,418.296,0,0,0,16143,2072
DpFbZcmXMQTyGh1z,1205.9068219634,0,-0.08000183105467329,2,0,0,100730,111331831,418.296,0,0,0,16179,1850
DpFbZcmXMQTyGh1z,1247.52303815,0,1,2,0,0,100731,101491944,259.895,0,0,0,11566,0
DpFbZcmXMQTyGh1z,1258.7698878393,0,2,2,0,0,100731,108604125,259.895,0,0,0,11697,0
DpFbZcmXMQTyGh1z,1242.4940841494,0,0,2,0,0,100731,111331831,259.895,0,0,0,11741,0
DpFbZcmXMQTyGh1z,1254.3459845131,0,0.95999908447265625,2,0,0,100732,101491944,167.626,0,0,0,8196,1998
DpFbZcmXMQTyGh1z,1474.7175259208,0,1.9599990844726563,2,0,0,100732,108604125,167.626,0,0,0,8244,1702
DpFbZcmXMQTyGh1z,1643.3846777946,0,-0.04000091552734375,2,0,0,100732,111331831,167.626,0,0,0,8250,2368
LDrdAG9WaNXvRTmq,2110.897006822,0,4.839996337890625,3,1,0,100623,92562419,147.903,0,0,0,7642,3256
LDrdAG9WaNXvRTmq,1764.3523119883,1,1.839996337890625,3,0,0,100623,109668658,147.903,1,0,0,7689,3478
LDrdAG9WaNXvRTmq,1721.5539914674,0,3.839996337890625,3,0,0,100623,109690169,147.903,0,0,0,7693,3182
LDrdAG9WaNXvRTmq,1813.5561997128,0,4.599998474121094,3,0,0,100624,92562419,184.565,0,0,0,6152,2886
LDrdAG9WaNXvRTmq,1588.8223661041,0,3.5999984741210938,3,0,0,100624,109690169,184.565,0,0,0,6288,3182
LDrdAG9WaNXvRTmq,1036.019830412,0,-6.400001525878906,3,1,98.04025682009049,100624,110386126,184.565,0,0,0,0,2220
MVPfpYwXg9nrGD6T,1244.0237873598,0,4.559997558593764,3,0,0,100625,110599589,221.294,0,0,0,9731,518
MVPfpYwXg9nrGD6T,1104.761521294,0,4.160003662109361,3,0,0,100626,110599589,173.852,0,0,0,9472,0
MVPfpYwXg9nrGD6T,877.82136529922,0,-0.8399963378906392,3,0,0,100626,111184540,173.852,0,0,0,9558,0
MVPfpYwXg9nrGD6T,1177.7922800668,0,4.1200027465820455,3,0,0,100627,110599589,249.769,0,0,0,13974,3034
MVPfpYwXg9nrGD6T,1083.9976137951,0,-0.8799972534179545,3,0,0,100627,111184540,249.769,0,0,0,13614,2738
MVPfpYwXg9nrGD6T,629.97038116048,0,-0.8000030517577983,3,0,0,100628,111184540,514.875,0,0,0,9387,1036
MVPfpYwXg9nrGD6T,1350.9889581654,0,1.279998779296875,3,0,0,100730,106566739,353.655,0,0,0,15627,1036
MVPfpYwXg9nrGD6T,838.75245649008,0,-0.720001220703125,3,0,0,100730,111184540,353.655,0,0,0,15780,814
wgvLJybYfWhnjNta,1621.2599101642,0,1,3,0,0,100730,108652328,325.928,0,0,0,15775,5180
wgvLJybYfWhnjNta,1385.3826612012,1,0,3,0,0,100730,110422470,325.928,1,0,0,16008,3552
wgvLJybYfWhnjNta,1856.6955167628,0,6.959999084472656,3,0,0,100731,97517335,177.238,0,0,0,10922,3922
wgvLJybYfWhnjNta,1780.8314244124,0,0.95999908447265625,3,0,0,100731,108652328,177.238,0,0,0,10655,3700
wgvLJybYfWhnjNta,1809.070289667,0,-0.04000091552734375,3,0,0,100731,110422470,177.238,0,0,0,10925,3108
wgvLJybYfWhnjNta,1822.1668684235,0,6.919998168945327,3,1,0,100732,97517335,128.868,0,0,0,7024,2442
wgvLJybYfWhnjNta,1770.8973523295,0,0.9199981689453267,3,0,0,100732,108652328,128.868,0,0,0,7027,2738
wgvLJybYfWhnjNta,1699.4599124686,0,-0.08000183105467329,3,0,0,100732,110422470,128.868,0,0,0,6437,2533
wgvLJybYfWhnjNta,1300.5837515583,0,6.279998779296875,3,1,0,100733,97517335,434.774,0,0,0,11367,4366
wgvLJybYfWhnjNta,1422.4884652716,0,4.279998779296875,3,0,0,100733,108652328,434.774,0,0,0,12571,4514
wgvLJybYfWhnjNta,1099.812776293,0,2.279998779296875,3,0,0,100733,110422470,434.774,0,0,0,11813,3922
wgvLJybYfWhnjNta,2088.1209031886,1,7.599998474121094,3,0,0,100623,97517335,128.301,1,0,0,7369,2220
wgvLJybYfWhnjNta,2037.9498211238,0,1.5999984741210938,3,1,0,100623,108652328,128.301,0,0,0,7362,1184
Xt6wTRj9LZhfNqYF,1428.1780633318,0,-0.720001220703125,2,0,0,100624,99764164,187.394,0,0,0,8486,3108
Xt6wTRj9LZhfNqYF,1125.3668740728,0,-0.720001220703125,2,0,0,100624,110863420,187.394,0,0,0,7475,2664
Xt6wTRj9LZhfNqYF,994.19001684001,0,-0.720001220703125,2,0,0,100623,99764164,279.691,0,0,0,10918,4292
