logID,title,visibility,region,revision,segments,startTime,endTime,report_start_at,report_end_at,report_link,zone_id,page,current_page,last_page,has_more_pages,per_page,total
pKCYXkqtgavwnGRf,SSC/TK please kill me,public,United States,63,67,1786094811427,1786105717268,2026-08-07T09:26:51Z,2026-08-07T12:28:37Z,https://classic.warcraftlogs.com/reports/pKCYXkqtgavwnGRf,1056,1,1,-1,TRUE,100,-1
9FgjDHZB3ayGnc8P,happy boys,public,United States,52,59,1786096490176,1786105714861,2026-08-07T09:54:50Z,2026-08-07T12:28:34Z,https://classic.warcraftlogs.com/reports/9FgjDHZB3ayGnc8P,1056,1,1,-1,TRUE,100,-1
vZKDkcxgPJN6Hj81,SSC / TK,public,Korea,21,28,1786101161155,1786105710282,2026-08-07T11:12:41Z,2026-08-07T12:28:30Z,https://classic.warcraftlogs.com/reports/vZKDkcxgPJN6Hj81,1056,1,1,-1,TRUE,100,-1
GzC1Ktrc2Dy3gpBq,SSC / TK,public,Korea,36,41,1786098576233,1786105716475,2026-08-07T10:29:36Z,2026-08-07T12:28:36Z,https://classic.warcraftlogs.com/reports/GzC1Ktrc2Dy3gpBq,1056,1,1,-1,TRUE,100,-1
DpFbZcmXMQTyGh1z,SSC / TK,public,China,8,27,1786101822521,1786105712187,2026-08-07T11:23:42Z,2026-08-07T12:28:32Z,https://classic.warcraftlogs.com/reports/DpFbZcmXMQTyGh1z,1056,1,1,-1,TRUE,100,-1
LDrdAG9WaNXvRTmq,SSC / TK,public,Korea,7,14,1786102903233,1786105712127,2026-08-07T11:41:43Z,2026-08-07T12:28:32Z,https://classic.warcraftlogs.com/reports/LDrdAG9WaNXvRTmq,1056,1,1,-1,TRUE,100,-1
rnAJB6yRNQMzYhTj,SSC / TK,public,China,19,29,1786102156717,1786105711803,2026-08-07T11:29:16Z,2026-08-07T12:28:31Z,https://classic.warcraftlogs.com/reports/rnAJB6yRNQMzYhTj,1056,1,1,-1,TRUE,100,-1
MVPfpYwXg9nrGD6T,SSC / TK,public,United States,37,42,1786097156130,1786105713847,2026-08-07T10:05:56Z,2026-08-07T12:28:33Z,https://classic.warcraftlogs.com/reports/MVPfpYwXg9nrGD6T,1056,1,1,-1,TRUE,100,-1
wgvLJybYfWhnjNta,SSC / TK,public,Korea,4,37,1786100346437,1786105711851,2026-08-07T10:59:06Z,2026-08-07T12:28:31Z,https://classic.warcraftlogs.com/reports/wgvLJybYfWhnjNta,1056,1,1,-1,TRUE,100,-1
Xt6wTRj9LZhfNqYF,SSC / TK,public,China,10,20,1786102681008,1786105710423,2026-08-07T11:38:01Z,2026-08-07T12:28:30Z,https://classic.warcraftlogs.com/reports/Xt6wTRj9LZhfNqYF,1056,1,1,-1,TRUE,100,-1
Mwc6bgBT9KNrZPtm,0807,public,China,9,14,1786100909930,1786105712080,2026-08-07T11:08:29Z,2026-08-07T12:28:32Z,https://classic.warcraftlogs.com/reports/Mwc6bgBT9KNrZPtm,1056,1,1,-1,TRUE,100,-1
D1Qc7vPwk8XGrpqJ,SSC / TK,public,Korea,34,42,1786099611841,1786105719443,2026-08-07T10:46:51Z,2026-08-07T12:28:39Z,https://classic.warcraftlogs.com/reports/D1Qc7vPwk8XGrpqJ,1056,1,1,-1,TRUE,100,-1
nyR1dJwBvxcW2hgX,SSC / TK,public,Korea,102,116,1786068152495,1786105712383,2026-08-07T02:02:32Z,2026-08-07T12:28:32Z,https://classic.warcraftlogs.com/reports/nyR1dJwBvxcW2hgX,1056,1,1,-1,TRUE,100,-1
t1kcWpxMN6Hnrf4v,SSC / TK,public,Korea,35,42,1786100285145,1786105706716,2026-08-07T10:58:05Z,2026-08-07T12:28:26Z,https://classic.warcraftlogs.com/reports/t1kcWpxMN6Hnrf4v,1056,1,1,-1,TRUE,100,-1
LMDqdy8z79mcCpPf,260807 불폭,public,Korea,47,63,1786096122801,1786105710626,2026-08-07T09:48:42Z,2026-08-07T12:28:30Z,https://classic.warcraftlogs.com/reports/LMDqdy8z79mcCpPf,1056,1,1,-1,TRUE,100,-1
AN9FGdwMf31tg8QB,SSC / TK,public,Korea,3,11,1786105023607,1786105711427,2026-08-07T12:17:03Z,2026-08-07T12:28:31Z,https://classic.warcraftlogs.com/reports/AN9FGdwMf31tg8QB,1056,1,1,-1,TRUE,100,-1
NKfhgC1mdjQv6Gqn,금요일 조드,public,Korea,66,69,1786096406633,1786105710106,2026-08-07T09:53:26Z,2026-08-07T12:28:30Z,https://classic.warcraftlogs.com/reports/NKfhgC1mdjQv6Gqn,1056,1,1,-1,TRUE,100,-1
bt1Jj6Kgd9h8yaMc,SSC / TK,public,China,1,15,1786103566174,1786105831575,2026-08-07T11:52:46Z,2026-08-07T12:30:31Z,https://classic.warcraftlogs.com/reports/bt1Jj6Kgd9h8yaMc,1056,1,1,-1,TRUE,100,-1
A7qDKtbN3ZgjaVxH,SSC / TK,public,Korea,7,19,1786103363770,1786105716619,2026-08-07T11:49:23Z,2026-08-07T12:28:36Z,https://classic.warcraftlogs.com/reports/A7qDKtbN3ZgjaVxH,1056,1,1,-1,TRUE,100,-1
XvaTxBDdcwYG9j2K,SSC / TK,public,Korea,8,30,1786101356420,1786105705497,2026-08-07T11:15:56Z,2026-08-07T12:28:25Z,https://classic.warcraftlogs.com/reports/XvaTxBDdcwYG9j2K,1056,1,1,-1,TRUE,100,-1
vVy19f8hBKPAXMcR,SSC / TK,public,China,8,16,1786103096986,1786105704799,2026-08-07T11:44:56Z,2026-08-07T12:28:24Z,https://classic.warcraftlogs.com/reports/vVy19f8hBKPAXMcR,1056,1,1,-1,TRUE,100,-1
ydFAbVDMCJH6jQB8,SSC / TK,public,United States,24,36,1786097095579,1786105705241,2026-08-07T10:04:55Z,2026-08-07T12:28:25Z,https://classic.warcraftlogs.com/reports/ydFAbVDMCJH6jQB8,1056,1,1,-1,TRUE,100,-1
